state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,duration,duration_sq,duration_cub,nbrs_lag,nbrs,lawrence,obergefell,std_init_use,evangelical_pop
,South Dakota,1989,0,Anti-bullying,N,2012,,,,,,,,,,,,1,1,,
,Tennessee,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Texas,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Utah,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Vermont,1989,0,Anti-bullying,P,2001,,,,,,,,,,,,1,1,,
,Vermont,1989,0,Anti-bullying,P,2007,,,,,,,,,,,,0,0,,
,Virginia,1989,0,Anti-bullying,M,2022,,,,,,,,,,,,1,0,,
,Washington,1989,0,Anti-bullying,P,2002,,,,,,,,,,,,1,1,,
,West Virginia,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,0,0,,
,Wisconsin,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Wyoming,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alabama,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alaska,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1990,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1990,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1990,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1990,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1990,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1990,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1990,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1990,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1990,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1990,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1990,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Nevada,1990,0,Anti-bullying,P,2015,,,,,,,,,,,,1,1,,
,New Hampshire,1990,0,Anti-bullying,N,2010,,,,,,,,,,,,1,0,,
,New Jersey,1990,0,Anti-bullying,P,2002,,,,,,,,,,,,1,0,,
,New Mexico,1990,0,Anti-bullying,P,2019,,,,,,,,,,,,0,0,,
,New York,1990,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,North Carolina,1990,0,Anti-bullying,P,2009,,,,,,,,,,,,1,0,,
,North Dakota,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Ohio,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oklahoma,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oregon,1990,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Pennsylvania,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Rhode Island,1990,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,South Carolina,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,South Dakota,1990,0,Anti-bullying,N,2012,,,,,,,,,,,,1,1,,
,Tennessee,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Texas,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Utah,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Vermont,1990,0,Anti-bullying,P,2001,,,,,,,,,,,,1,1,,
,Vermont,1990,0,Anti-bullying,P,2007,,,,,,,,,,,,0,0,,
,Virginia,1990,0,Anti-bullying,M,2022,,,,,,,,,,,,1,0,,
,Washington,1990,0,Anti-bullying,P,2002,,,,,,,,,,,,1,1,,
,West Virginia,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,0,0,,
,Wisconsin,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Wyoming,1990,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alabama,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alaska,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1991,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1991,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1991,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1991,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1991,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1991,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1991,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1991,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1991,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1991,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1991,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Nevada,1991,0,Anti-bullying,P,2015,,,,,,,,,,,,1,1,,
,New Hampshire,1991,0,Anti-bullying,N,2010,,,,,,,,,,,,1,0,,
,New Jersey,1991,0,Anti-bullying,P,2002,,,,,,,,,,,,1,0,,
,New Mexico,1991,0,Anti-bullying,P,2019,,,,,,,,,,,,0,0,,
,New York,1991,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,North Carolina,1991,0,Anti-bullying,P,2009,,,,,,,,,,,,1,0,,
,North Dakota,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Ohio,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oklahoma,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oregon,1991,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Pennsylvania,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Rhode Island,1991,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,South Carolina,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,South Dakota,1991,0,Anti-bullying,N,2012,,,,,,,,,,,,1,1,,
,Tennessee,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Texas,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Utah,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Vermont,1991,0,Anti-bullying,P,2001,,,,,,,,,,,,1,1,,
,Vermont,1991,0,Anti-bullying,P,2007,,,,,,,,,,,,0,0,,
,Virginia,1991,0,Anti-bullying,M,2022,,,,,,,,,,,,1,0,,
,Washington,1991,0,Anti-bullying,P,2002,,,,,,,,,,,,1,1,,
,West Virginia,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,0,0,,
,Wisconsin,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Wyoming,1991,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alabama,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alaska,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1992,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1992,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1992,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1992,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1992,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1992,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1992,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1992,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1992,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1992,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1992,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Nevada,1992,0,Anti-bullying,P,2015,,,,,,,,,,,,1,1,,
,New Hampshire,1992,0,Anti-bullying,N,2010,,,,,,,,,,,,1,0,,
,New Jersey,1992,0,Anti-bullying,P,2002,,,,,,,,,,,,1,0,,
,New Mexico,1992,0,Anti-bullying,P,2019,,,,,,,,,,,,0,0,,
,New York,1992,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,North Carolina,1992,0,Anti-bullying,P,2009,,,,,,,,,,,,1,0,,
,North Dakota,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Ohio,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oklahoma,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oregon,1992,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Pennsylvania,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Rhode Island,1992,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,South Carolina,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,South Dakota,1992,0,Anti-bullying,N,2012,,,,,,,,,,,,1,1,,
,Tennessee,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Texas,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Utah,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Vermont,1992,0,Anti-bullying,P,2001,,,,,,,,,,,,1,1,,
,Vermont,1992,0,Anti-bullying,P,2007,,,,,,,,,,,,0,0,,
,Virginia,1992,0,Anti-bullying,M,2022,,,,,,,,,,,,1,0,,
,Washington,1992,0,Anti-bullying,P,2002,,,,,,,,,,,,1,1,,
,West Virginia,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,0,0,,
,Wisconsin,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Wyoming,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alabama,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alaska,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1993,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1993,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1993,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1993,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1993,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1993,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1993,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1993,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1993,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1993,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1993,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1993,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
